id,DATE,avg_AirTemp
1,1-Jan-18,25.45
2,2-Jan-18,26.4
3,3-Jan-18,26.35
4,4-Jan-18,27.45
5,5-Jan-18,27.45
6,6-Jan-18,26.55
7,7-Jan-18,26.75
8,8-Jan-18,27.1
9,9-Jan-18,27.1
10,10-Jan-18,26.5
11,11-Jan-18,25.45
12,12-Jan-18,25
13,13-Jan-18,24.15
14,14-Jan-18,25.35
15,15-Jan-18,25.4
16,16-Jan-18,25.55
17,17-Jan-18,26.2
18,18-Jan-18,26.55
19,19-Jan-18,26.1
20,20-Jan-18,26.35
21,21-Jan-18,26.45
22,22-Jan-18,26.75
23,23-Jan-18,26.2
24,24-Jan-18,26.95
25,25-Jan-18,26.75
26,26-Jan-18,27.05
27,27-Jan-18,27.45
28,28-Jan-18,27.55
29,29-Jan-18,24.5
30,30-Jan-18,25.4
31,31-Jan-18,26.45
32,1-Feb-18,23.7
33,2-Feb-18,25.45
34,3-Feb-18,24.5
35,4-Feb-18,23.5
36,5-Feb-18,22.55
37,6-Feb-18,24.15
38,7-Feb-18,24.15
39,8-Feb-18,23.2
40,9-Feb-18,24.55
41,10-Feb-18,24.85
42,11-Feb-18,26.3
43,12-Feb-18,28.3
44,13-Feb-18,24.55
45,14-Feb-18,25.45
46,15-Feb-18,27.05
47,16-Feb-18,26.9
48,17-Feb-18,27.6
49,18-Feb-18,26.5
50,19-Feb-18,27.25
51,20-Feb-18,25.7
52,21-Feb-18,25.8
53,22-Feb-18,25.8
54,23-Feb-18,27.95
55,24-Feb-18,25.95
56,25-Feb-18,26.25
57,26-Feb-18,28
58,27-Feb-18,27.4
59,28-Feb-18,26.8
60,1-Mar-18,26.1
61,2-Mar-18,28.95
62,3-Mar-18,27.9
63,4-Mar-18,27.9
64,5-Mar-18,27.8
65,6-Mar-18,27.35
66,7-Mar-18,27.9
67,8-Mar-18,28.85
68,9-Mar-18,26.6
69,10-Mar-18,27.25
70,11-Mar-18,24.65
71,12-Mar-18,26.1
72,13-Mar-18,25.15
73,14-Mar-18,25.2
74,15-Mar-18,26.5
75,16-Mar-18,26.75
76,17-Mar-18,26.55
77,18-Mar-18,26.4
78,19-Mar-18,26.2
79,20-Mar-18,26.6
80,21-Mar-18,25.95
81,22-Mar-18,25.1
82,23-Mar-18,26.2
83,24-Mar-18,26.95
84,25-Mar-18,26.15
85,26-Mar-18,25.5
86,27-Mar-18,24.7
87,28-Mar-18,25
88,29-Mar-18,25.55
89,30-Mar-18,25.5
90,31-Mar-18,27.05
91,1-Apr-18,27.15
92,2-Apr-18,26.6
93,3-Apr-18,26.3
94,4-Apr-18,26.9
95,5-Apr-18,26.35
96,6-Apr-18,27.3
97,7-Apr-18,26.4
98,8-Apr-18,26.95
99,9-Apr-18,28.55
100,10-Apr-18,28.45
101,11-Apr-18,27.3
102,12-Apr-18,28.45
103,13-Apr-18,28.65
104,14-Apr-18,28.75
105,15-Apr-18,29
106,16-Apr-18,27.8
107,17-Apr-18,28.9
108,18-Apr-18,28.1
109,19-Apr-18,28.4
110,20-Apr-18,28.05
111,21-Apr-18,27.9
112,22-Apr-18,29.7
113,23-Apr-18,29.8
114,24-Apr-18,29.25
115,25-Apr-18,29.9
116,26-Apr-18,28.3
117,27-Apr-18,29.35
118,28-Apr-18,28.5
119,29-Apr-18,30.2
120,30-Apr-18,30.35
121,1-May-18,29.45
122,2-May-18,30.35
123,3-May-18,30.7
124,4-May-18,30.55
125,5-May-18,29.85
126,6-May-18,30
127,7-May-18,30.8
128,8-May-18,30.4
129,9-May-18,29.55
130,10-May-18,29.8
131,11-May-18,29.55
132,12-May-18,30.05
133,13-May-18,29.35
134,14-May-18,29.85
135,15-May-18,29.7
136,16-May-18,30.35
137,17-May-18,29.8
138,18-May-18,28.7
139,19-May-18,30.4
140,20-May-18,30.5
141,21-May-18,30.5
142,22-May-18,30.85
143,23-May-18,30
144,24-May-18,29.9
145,25-May-18,31.15
146,26-May-18,30.3
147,27-May-18,30.7
148,28-May-18,30.9
149,29-May-18,31.2
150,30-May-18,31.1
151,31-May-18,31.65
152,1-Jun-18,30.2
153,2-Jun-18,31.05
154,3-Jun-18,30.85
155,4-Jun-18,29.15
156,5-Jun-18,30.35
157,6-Jun-18,30.45
158,7-Jun-18,29.9
159,8-Jun-18,29.7
160,9-Jun-18,28.7
161,10-Jun-18,28.65
162,11-Jun-18,26.9
163,12-Jun-18,27.05
164,13-Jun-18,27.4
165,14-Jun-18,26.4
166,15-Jun-18,26.6
167,16-Jun-18,27.6
168,17-Jun-18,28.75
169,18-Jun-18,29
170,19-Jun-18,29.9
171,20-Jun-18,29.65
172,21-Jun-18,28.4
173,22-Jun-18,27.75
174,23-Jun-18,28.3
175,24-Jun-18,27.7
176,25-Jun-18,29.05
177,26-Jun-18,28.3
178,27-Jun-18,28.25
179,28-Jun-18,28.4
180,29-Jun-18,28.85
181,30-Jun-18,28.75
182,1-Jul-18,26.95
183,2-Jul-18,28.7
184,3-Jul-18,28.75
185,4-Jul-18,28.65
186,5-Jul-18,28.85
187,6-Jul-18,28.7
188,7-Jul-18,29.3
189,8-Jul-18,28.85
190,9-Jul-18,28.65
191,10-Jul-18,28.05
192,11-Jul-18,28.8
193,12-Jul-18,28.6
194,13-Jul-18,27.7
195,14-Jul-18,28.25
196,15-Jul-18,28.25
197,16-Jul-18,28.7
198,17-Jul-18,28.5
199,18-Jul-18,27.95
200,19-Jul-18,27.55
201,20-Jul-18,26.8
202,21-Jul-18,27.6
203,22-Jul-18,28.45
204,23-Jul-18,28.45
205,24-Jul-18,28.75
206,25-Jul-18,28.9
207,26-Jul-18,27.95
208,27-Jul-18,27.6
209,28-Jul-18,28.3
210,29-Jul-18,28.5
211,30-Jul-18,29.1
212,31-Jul-18,29.05
213,1-Aug-18,28.65
214,2-Aug-18,29.05
215,3-Aug-18,28.8
216,4-Aug-18,28.25
217,5-Aug-18,29.35
218,6-Aug-18,29.1
219,7-Aug-18,28.5
220,8-Aug-18,29
221,9-Aug-18,29.35
222,10-Aug-18,28.25
223,11-Aug-18,26.75
224,12-Aug-18,25.5
225,13-Aug-18,27.1
226,14-Aug-18,27.35
227,15-Aug-18,26.35
228,16-Aug-18,29.05
229,17-Aug-18,27.3
230,18-Aug-18,28.5
231,19-Aug-18,28.2
232,20-Aug-18,28.95
233,21-Aug-18,27.15
234,22-Aug-18,28.15
235,23-Aug-18,27.15
236,24-Aug-18,27.05
237,25-Aug-18,26.05
238,26-Aug-18,25.75
239,27-Aug-18,26.7
240,28-Aug-18,28.35
241,29-Aug-18,27.85
242,30-Aug-18,28.1
243,31-Aug-18,28.1
244,1-Sep-18,28.4
245,2-Sep-18,28.4
246,3-Sep-18,28.15
247,4-Sep-18,28.35
248,5-Sep-18,28
249,6-Sep-18,28.85
250,7-Sep-18,28.2
251,8-Sep-18,28.45
252,9-Sep-18,28.15
253,10-Sep-18,26.8
254,11-Sep-18,26.15
255,12-Sep-18,27.45
256,13-Sep-18,28.15
257,14-Sep-18,28.4
258,15-Sep-18,27.75
259,16-Sep-18,26.95
260,17-Sep-18,29.45
261,18-Sep-18,28.8
262,19-Sep-18,28.8
263,20-Sep-18,29.65
264,21-Sep-18,29.6
265,22-Sep-18,28.85
266,23-Sep-18,28.25
267,24-Sep-18,27.85
268,25-Sep-18,28.5
269,26-Sep-18,27.95
270,27-Sep-18,28.15
271,28-Sep-18,28.85
272,29-Sep-18,30.75
273,30-Sep-18,26.9
274,1-Oct-18,27.3
275,2-Oct-18,28.7
276,3-Oct-18,28.35
277,4-Oct-18,27.7
278,5-Oct-18,26.95
279,6-Oct-18,27.55
280,7-Oct-18,27.85
281,8-Oct-18,27.65
282,9-Oct-18,27.95
283,10-Oct-18,27.65
284,11-Oct-18,27.75
285,12-Oct-18,28.75
286,13-Oct-18,29.2
287,14-Oct-18,28.7
288,15-Oct-18,29.1
289,16-Oct-18,28.65
290,17-Oct-18,28.25
291,18-Oct-18,29.35
292,19-Oct-18,29.6
293,20-Oct-18,28.55
294,21-Oct-18,28.2
295,22-Oct-18,27.9
296,23-Oct-18,27.3
297,24-Oct-18,28.3
298,25-Oct-18,27.4
299,26-Oct-18,27.6
300,27-Oct-18,28.6
301,28-Oct-18,27.3
302,29-Oct-18,27
303,30-Oct-18,27.3
304,31-Oct-18,26.75
305,1-Nov-18,27.7
306,2-Nov-18,28.6
307,3-Nov-18,28
308,4-Nov-18,27.95
309,5-Nov-18,27.25
310,6-Nov-18,27.7
311,7-Nov-18,28.55
312,8-Nov-18,28.05
313,9-Nov-18,26.9
314,10-Nov-18,26.4
315,11-Nov-18,26.15
316,12-Nov-18,26.4
317,13-Nov-18,26.15
318,14-Nov-18,27.1
319,15-Nov-18,28.4
320,16-Nov-18,27.95
321,17-Nov-18,27.85
322,18-Nov-18,27.75
323,19-Nov-18,27.05
324,20-Nov-18,26.65
325,21-Nov-18,26.45
326,22-Nov-18,29.65
327,23-Nov-18,29.1
328,24-Nov-18,27.45
329,25-Nov-18,27.8
330,26-Nov-18,29.6
331,27-Nov-18,27.3
332,28-Nov-18,26.9
333,29-Nov-18,26.6
334,30-Nov-18,26.85
335,1-Dec-18,27.55
336,2-Dec-18,26.15
337,3-Dec-18,26.05
338,4-Dec-18,26.5
339,5-Dec-18,27.15
340,6-Dec-18,27.6
341,7-Dec-18,27.6
342,8-Dec-18,27.4
343,9-Dec-18,27.85
344,10-Dec-18,27.25
345,11-Dec-18,26.25
346,12-Dec-18,26.4
347,13-Dec-18,28.05
348,14-Dec-18,27.9
349,15-Dec-18,27.1
350,16-Dec-18,27.45
351,17-Dec-18,26.8
352,18-Dec-18,25.7
353,19-Dec-18,26.3
354,20-Dec-18,26.45
355,21-Dec-18,25.05
356,22-Dec-18,28.65
357,23-Dec-18,29.6
358,24-Dec-18,28.5
359,25-Dec-18,28.7
360,26-Dec-18,27.05
361,27-Dec-18,28.3
362,28-Dec-18,27.3
363,29-Dec-18,28.05
364,30-Dec-18,26.2
365,31-Dec-18,26.6
366,1-Jan-19,27.1
367,2-Jan-19,26.6
368,3-Jan-19,28
369,4-Jan-19,27.95
370,5-Jan-19,26.85
371,6-Jan-19,25.55
372,7-Jan-19,27.15
373,8-Jan-19,25.35
374,9-Jan-19,25.15
375,10-Jan-19,26.55
376,11-Jan-19,26.45
377,12-Jan-19,26.25
378,13-Jan-19,25.4
379,14-Jan-19,25.3
380,15-Jan-19,23.9
381,16-Jan-19,26.25
382,17-Jan-19,25.7
383,18-Jan-19,25.65
384,19-Jan-19,26.2
385,20-Jan-19,25.4
386,21-Jan-19,25.55
387,22-Jan-19,27.35
388,23-Jan-19,23.5
389,24-Jan-19,25.2
390,25-Jan-19,25.95
391,26-Jan-19,25.15
392,27-Jan-19,24.9
393,28-Jan-19,23.45
394,29-Jan-19,23.8
395,30-Jan-19,21.85
396,31-Jan-19,23.45
397,1-Feb-19,24.55
398,2-Feb-19,25.05
399,3-Feb-19,23.95
400,4-Feb-19,24.45
401,5-Feb-19,25.95
402,6-Feb-19,24
403,7-Feb-19,25.15
404,8-Feb-19,24.9
405,9-Feb-19,25
406,10-Feb-19,25.75
407,11-Feb-19,24.75
408,12-Feb-19,26.05
409,13-Feb-19,25.3
410,14-Feb-19,26.05
411,15-Feb-19,25.45
412,16-Feb-19,25
413,17-Feb-19,25.5
414,18-Feb-19,24.5
415,19-Feb-19,26.2
416,20-Feb-19,31.45
417,21-Feb-19,27.8
418,22-Feb-19,28.5
419,23-Feb-19,27.3
420,24-Feb-19,25.25
421,25-Feb-19,25.5
422,26-Feb-19,24.25
423,27-Feb-19,25.2
424,28-Feb-19,25.2
425,1-Mar-19,25.8
426,2-Mar-19,26.05
427,3-Mar-19,25.5
428,4-Mar-19,24.7
429,5-Mar-19,27.45
430,6-Mar-19,27.15
431,7-Mar-19,26.9
432,8-Mar-19,26.65
433,9-Mar-19,26.85
434,10-Mar-19,26.75
435,11-Mar-19,26.65
436,12-Mar-19,27.35
437,13-Mar-19,26.75
438,14-Mar-19,26.35
439,15-Mar-19,26.1
440,16-Mar-19,26.65
441,17-Mar-19,28.9
442,18-Mar-19,27.6
443,19-Mar-19,27.45
444,20-Mar-19,28.1
445,21-Mar-19,26.45
446,22-Mar-19,26.9
447,23-Mar-19,25.55
448,24-Mar-19,26
449,25-Mar-19,28
450,26-Mar-19,26.5
451,27-Mar-19,27.1
452,28-Mar-19,26.3
453,29-Mar-19,27.2
454,30-Mar-19,28.15
455,31-Mar-19,28.55
456,1-Apr-19,28.15
457,2-Apr-19,28.05
458,3-Apr-19,28
459,4-Apr-19,27.9
460,5-Apr-19,28.5
461,6-Apr-19,28.95
462,7-Apr-19,28.1
463,8-Apr-19,28.3
464,9-Apr-19,28.9
465,10-Apr-19,30
466,11-Apr-19,29
467,12-Apr-19,29.1
468,13-Apr-19,30.8
469,14-Apr-19,30.55
470,15-Apr-19,29.9
471,16-Apr-19,29.9
472,17-Apr-19,30
473,18-Apr-19,28.45
474,19-Apr-19,29.2
475,20-Apr-19,30.4
476,21-Apr-19,29.5
477,22-Apr-19,29.4
478,23-Apr-19,28.9
479,24-Apr-19,30.55
480,25-Apr-19,29.6
481,26-Apr-19,29.75
482,27-Apr-19,29.5
483,28-Apr-19,30.5
484,29-Apr-19,30.5
485,30-Apr-19,30.7
486,1-May-19,30.15
487,2-May-19,30.45
488,3-May-19,29.65
489,4-May-19,30.25
490,5-May-19,29.25
491,6-May-19,29.35
492,7-May-19,28.55
493,8-May-19,27.85
494,9-May-19,29.1
495,10-May-19,28.65
496,11-May-19,28.85
497,12-May-19,28.25
498,13-May-19,28.8
499,14-May-19,29.25
500,15-May-19,30.05
501,16-May-19,29
502,17-May-19,29.45
503,18-May-19,30
504,19-May-19,29.3
505,20-May-19,29.45
506,21-May-19,30.4
507,22-May-19,30.25
508,23-May-19,29.4
509,24-May-19,29.55
510,25-May-19,30.05
511,26-May-19,30.4
512,27-May-19,28.95
513,28-May-19,29.2
514,29-May-19,34.15
515,30-May-19,29.5
516,31-May-19,29.95
517,1-Jun-19,30.1
518,2-Jun-19,30.9
519,3-Jun-19,30.45
520,4-Jun-19,30.55
521,5-Jun-19,29.8
522,6-Jun-19,29.85
523,7-Jun-19,30.6
524,8-Jun-19,30.6
525,9-Jun-19,29.95
526,10-Jun-19,30.5
527,11-Jun-19,30
528,12-Jun-19,31.45
529,13-Jun-19,30.65
530,14-Jun-19,29.55
531,15-Jun-19,29.05
532,16-Jun-19,27.6
533,17-Jun-19,29.7
534,18-Jun-19,30.4
535,19-Jun-19,29.85
536,20-Jun-19,29.85
537,21-Jun-19,30.2
538,22-Jun-19,30.4
539,23-Jun-19,30.1
540,24-Jun-19,31.9
541,25-Jun-19,29.3
542,26-Jun-19,28.6
543,27-Jun-19,29.4
544,28-Jun-19,28.6
545,29-Jun-19,29.1
546,30-Jun-19,26.75
547,1-Jul-19,28.75
548,2-Jul-19,29.5
549,3-Jul-19,29.65
550,4-Jul-19,29.9
551,5-Jul-19,29.3
552,6-Jul-19,29.1
553,7-Jul-19,28.85
554,8-Jul-19,29.55
555,9-Jul-19,28.7
556,10-Jul-19,29
557,11-Jul-19,28.4
558,12-Jul-19,28.75
559,13-Jul-19,29
560,14-Jul-19,29.1
561,15-Jul-19,28.9
562,16-Jul-19,29.45
563,17-Jul-19,28.65
564,18-Jul-19,28.3
565,19-Jul-19,28.1
566,20-Jul-19,28.75
567,21-Jul-19,28.7
568,22-Jul-19,28.9
569,23-Jul-19,29.25
570,24-Jul-19,28.75
571,25-Jul-19,28.8
572,26-Jul-19,29.1
573,27-Jul-19,29.15
574,28-Jul-19,28.2
575,29-Jul-19,27.4
576,30-Jul-19,27.2
577,31-Jul-19,28.05
578,1-Aug-19,29.45
579,2-Aug-19,29.05
580,3-Aug-19,26.9
581,4-Aug-19,28.25
582,5-Aug-19,28.45
583,6-Aug-19,28.4
584,7-Aug-19,28.95
585,8-Aug-19,29.5
586,9-Aug-19,29.3
587,10-Aug-19,27.35
588,11-Aug-19,28.5
589,12-Aug-19,28.8
590,13-Aug-19,29
591,14-Aug-19,28.6
592,15-Aug-19,30.2
593,16-Aug-19,30.5
594,17-Aug-19,30.55
595,18-Aug-19,29.8
596,19-Aug-19,29.25
597,20-Aug-19,29.8
598,21-Aug-19,28.55
599,22-Aug-19,29.55
600,23-Aug-19,29.25
601,24-Aug-19,28.65
602,25-Aug-19,27
603,26-Aug-19,29.05
604,27-Aug-19,27.45
605,28-Aug-19,26.5
606,29-Aug-19,29.15
607,30-Aug-19,30
608,31-Aug-19,28.4
609,1-Sep-19,25.65
610,2-Sep-19,28
611,3-Sep-19,28.55
612,4-Sep-19,28.05
613,5-Sep-19,28.5
614,6-Sep-19,27.8
615,7-Sep-19,28.05
616,8-Sep-19,26.75
617,9-Sep-19,26.4
